20:56:21.733900,   total files: 3,  size: 5M,   proc load: 1.73 2.01 1.35 5/661 5661
20:56:31.436993,   total files: 3,  size: 5M,   proc load: 1.85 2.02 1.37 1/664 5914
20:56:33.985451,   total files: 3,  size: 5M,   proc load: 1.85 2.02 1.37 3/661 6123
20:56:35.760032,   total files: 3,  size: 5M,   proc load: 1.78 2.01 1.36 1/663 6221
20:56:38.322281,   total files: 3,  size: 5M,   proc load: 1.78 2.01 1.36 2/662 6369
20:56:41.962750,   total files: 3,  size: 5M,   proc load: 1.88 2.02 1.37 3/659 6663
20:56:46.411359,   total files: 3,  size: 5M,   proc load: 2.21 2.09 1.40 1/662 7039
20:56:46.897831,   total files: 3,  size: 5M,   proc load: 2.21 2.09 1.40 3/662 7084
20:56:47.405301,   total files: 3,  size: 5M,   proc load: 2.21 2.09 1.40 3/662 7129
20:56:49.925494,   total files: 3,  size: 5M,   proc load: 2.36 2.12 1.41 4/660 7176
20:56:53.559849,   total files: 3,  size: 5M,   proc load: 2.36 2.12 1.41 3/663 7512
20:57:00.329659,   total files: 3,  size: 5M,   proc load: 2.62 2.18 1.44 1/663 8054
20:57:03.993743,   total files: 3,  size: 5M,   proc load: 2.62 2.18 1.44 4/660 8351
20:57:05.472681,   total files: 3,  size: 5M,   proc load: 2.57 2.18 1.44 2/661 8449
20:58:35.089360,   total files: 3,  size: 5M,   proc load: 2.94 2.43 1.60 10/665 8722
20:58:42.966816,   total files: 3,  size: 5M,   proc load: 2.87 2.42 1.60 4/665 8974
20:58:46.318229,   total files: 3,  size: 5M,   proc load: 3.60 2.58 1.66 7/662 9183
20:58:47.948414,   total files: 3,  size: 5M,   proc load: 3.60 2.58 1.66 9/664 9281
20:58:51.250805,   total files: 3,  size: 5M,   proc load: 4.03 2.69 1.70 4/664 9431
20:58:55.537931,   total files: 3,  size: 5M,   proc load: 3.71 2.64 1.69 3/666 9726
20:59:00.039683,   total files: 3,  size: 5M,   proc load: 3.73 2.67 1.70 3/663 10102
20:59:00.568617,   total files: 3,  size: 5M,   proc load: 3.73 2.67 1.70 1/663 10147
20:59:01.111356,   total files: 3,  size: 5M,   proc load: 3.73 2.67 1.70 7/661 10192
20:59:03.712300,   total files: 3,  size: 5M,   proc load: 3.73 2.67 1.70 7/660 10239
20:59:07.776406,   total files: 3,  size: 5M,   proc load: 4.63 2.87 1.77 6/660 10574
20:59:14.771061,   total files: 3,  size: 5M,   proc load: 4.66 2.91 1.79 3/660 11116
20:59:18.144414,   total files: 3,  size: 5M,   proc load: 4.45 2.89 1.79 2/660 11413
20:59:19.703642,   total files: 3,  size: 5M,   proc load: 4.45 2.89 1.79 3/661 11511
